1	John Lasseter	John Lasseter#Pete Docter	Tom Hanks#Tim Allen#Don Rickles	USA	A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
2	Martin Campbell	Ian Fleming#Michael France	Pierce Brosnan#Sean Bean#Izabella Scorupco	UK#USA	James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow Agent formerly believed to be dead.
3	Allison Anders#Alexandre Rockwell	Allison Anders#Alexandre Rockwell	Tim Roth#Antonio Banderas#Sammi Davis	USA	Four interlocking tales that take place in a fading hotel on New Year's Eve.
4	Barry Sonnenfeld	Elmore Leonard#Scott Frank	Gene Hackman#Rene Russo#Danny DeVito	USA	A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.
5	Jon Amiel	Ann Biderman#David Madsen	Sigourney Weaver#Holly Hunter#Dermot Mulroney	English	An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
6	Yimou Zhang	Bi Feiyu#Li Xiao	Li Gong#Baotian Li#Xiaoxiao Wang	France#China	A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
7	Terry Gilliam	Chris Marker#David Webb Peoples	Bruce Willis#Madeleine Stowe#Brad Pitt	USA	In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.
8	Chris Noonan	Dick King-Smith#George Miller	James Cromwell#Magda Szubanski#Christine Cavanaugh	Australia#USA	Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.
9	Tim Robbins	Helen Prejean#Tim Robbins	Susan Sarandon#Sean Penn#Robert Prosky	English	A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.
10	Richard Loncraine	William Shakespeare#Ian McKellen	Ian McKellen#Annette Bening#Christopher Bowen	English	The classic Shakespearean play about a murderously scheming King staged in an alternative fascist England setting.
11	David Fincher	Andrew Kevin Walker	Morgan Freeman#Brad Pitt#Kevin Spacey	USA	Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
12	None	None	None	IMDbPro	None
13	Woody Allen	Woody Allen	Woody Allen#Mira Sorvino#Pamela Blair	English#Latin	When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.
14	Michael Radford#Massimo Troisi	Antonio Skármeta#Furio Scarpelli	Massimo Troisi#Philippe Noiret#Maria Grazia Cucinotta	Italy#France#Belgium	Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
15	Stephen Herek	Patrick Sheane Duncan	Richard Dreyfuss#Glenne Headly#Jay Thomas	English#American Sign Language	A frustrated composer finds fulfillment as a high school music teacher.
16	Josiane Balasko	Patrick Aubrée#Josiane Balasko	Victoria Abril#Josiane Balasko#Alain Chabat	French#Spanish#English	After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.
17	Robert Rodriguez	Robert Kurtzman#Quentin Tarantino	Harvey Keitel#George Clooney#Juliette Lewis	USA#Mexico	Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.
18	Jafar Panahi	Abbas Kiarostami#Jafar Panahi	Aida Mohammadkhani#Mohsen Kafili#Fereshteh Sadre Orafaiy	Iran	Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.
19	Marleen Gorris	Marleen Gorris	Willeke van Ammelrooy#Jan Decleir#Veerle van Overloop	Dutch	A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.
20	Philip Haas	A.S. Byatt#Belinda Haas	Mark Rylance#Kristin Scott Thomas#Patsy Kensit	English	In the 1800s a naturalist marries into a family of British country gentry.
21	Brian Henson#David Lane	Robert Louis Stevenson#Jerry Juhl	Tim Curry#Billy Connolly#Jennifer Saunders	USA	The Muppets' twist on the classic tale.
22	Mel Gibson	Randall Wallace	Mel Gibson#Sophie Marceau#Patrick McGoohan	USA	When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.
23	Martin Scorsese	Paul Schrader	Robert De Niro#Jodie Foster#Cybill Shepherd	English#Spanish	A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.
24	Stanley Tong	Edward Tang#Fibe Ma	Jackie Chan#Anita Mui#Françoise Yip	Cantonese#English	A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.
25	Mike Nichols	Jean Poiret#Francis Veber	Robin Williams#Nathan Lane#Gene Hackman	USA	A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.
26	None	None	None	IMDbPro	None
27	Michael Bay	George Gallo#Michael Barrie	Will Smith#Martin Lawrence#Lisa Boyle	USA	Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.
