1	Toy Story (1995)	/title/tt0114709/?ref_=fn_al_tt_1	Toy Story	(1995)
2	GoldenEye (1995)	/title/tt0113189/?ref_=fn_al_tt_1	GoldenEye	(1995)
3	Four Rooms (1995)	/title/tt0113101/?ref_=fn_al_tt_1	Four Rooms	(1995)
4	Get Shorty (1995)	/title/tt0113161/?ref_=fn_al_tt_1	Get Shorty	(1995)
5	Copycat (1995)	/title/tt0112722/?ref_=fn_al_tt_1	Copycat	(1995)
6	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	/title/tt0115012/?ref_=fn_al_tt_1	None	None
7	Twelve Monkeys (1995)	/title/tt0114746/?ref_=fn_al_tt_1	Twelve Monkeys	(1995)
8	Babe (1995)	/title/tt0112431/?ref_=fn_al_tt_1	Babe	(1995)
9	Dead Man Walking (1995)	/title/tt0112818/?ref_=fn_al_tt_1	Dead Man Walking	(1995)
10	Richard III (1995)	/title/tt0114279/?ref_=fn_al_tt_1	Richard III	(1995)
11	Seven (Se7en) (1995)	/title/tt0114369/?ref_=fn_al_tt_1	Se7en	(1995)
12	Usual Suspects, The (1995)	/title/tt9422720/?ref_=fn_al_tt_1	Silver Shamrocks vs The Usual Suspects
13	Mighty Aphrodite (1995)	/title/tt0113819/?ref_=fn_al_tt_1	Mighty Aphrodite	(1995)
14	Postino, Il (1994)	/title/tt0110877/?ref_=fn_al_tt_1	Il postino	(1994)
15	Mr. Holland's Opus (1995)	/title/tt0113862/?ref_=fn_al_tt_1	Mr. Holland's Opus	(1995)
16	French Twist (Gazon maudit) (1995)	/title/tt0113149/?ref_=fn_al_tt_1	Gazon maudit	(1995)
17	From Dusk Till Dawn (1996)	/title/tt0116367/?ref_=fn_al_tt_1	From Dusk Till Dawn	(1996)
18	White Balloon, The (1995)	/title/tt0112445/?ref_=fn_al_tt_1	Badkonake sefid	(1995)
19	Antonia's Line (1995)	/title/tt0112379/?ref_=fn_al_tt_1	Antonia	(1995)
20	Angels and Insects (1995)	/title/tt0112365/?ref_=fn_al_tt_1	Angels and Insects	(1995)
21	Muppet Treasure Island (1996)	/title/tt0117110/?ref_=fn_al_tt_1	Muppet Treasure Island	(1996)
